source_name,segment,instrument,clicked_year,month_label,date,daily_turnover,daily_volume,active_trading_days,source_level,raw_col_1,raw_col_2,raw_col_3,raw_col_4,raw_col_5,raw_col_6,raw_col_7,raw_col_8,raw_col_9,raw_col_10,raw_col_11,raw_col_12,raw_col_13,raw_col_14,raw_col_15,raw_col_16,raw_col_17,raw_col_18,raw_col_19
capital_market,Capital Market,NA,2002-2003,Aug-2002,,46113.0,26000.0,21.0,capital_market_year_summary_table,Aug-02,799,161,839,21,806,191,"26,000","46,113","2,196","24,090","26,000","46,113","6,32,618",,,,,
capital_market,Capital Market,NA,2003-2004,Aug-2003,,85347.0,84554.0,20.0,capital_market_year_summary_table,Aug-03,873,35,775,20,752,322,"84,554","85,347","4,267","26,505","84,554","85,347","8,36,651",,,,,
capital_market,Capital Market,NA,2004-2005,Aug-2004,,86856.0,57543.0,22.0,capital_market_year_summary_table,Aug-04,936,9,820,22,799,358,"57,543","86,856","3,948","24,260","57,543","86,856","11,43,075",,,,,
capital_market,Capital Market,NA,2005-2006,Aug-2005,,145731.0,100717.0,22.0,capital_market_year_summary_table,Aug-05,"1,006",1,875,22,887,570,"1,00,717","1,45,731","6,624","25,548","1,00,717","1,45,731","19,57,491",,,,,
capital_market,Capital Market,NA,2006-2007,Aug-2006,,130796.0,56442.0,22.0,capital_market_year_summary_table,Aug-06,"1,099",-,958,22,"1,069",631,"56,442","1,30,796","5,945","20,735","56,442","1,30,796","27,77,401",,,,,
capital_market,Capital Market,NA,2007-2008,Aug-2007,,231241.0,106218.0,22.0,capital_market_year_summary_table,Aug-07,"1,316",-,"1,170",22,"1,267",874,"1,06,218","2,31,241","10,511","26,458","1,06,218","2,31,241","42,96,994",,,,,
capital_market,Capital Market,NA,2008-2009,Aug-2008,,234251.0,104352.0,20.0,capital_market_year_summary_table,Aug-08,"1,422",-,"1,278",20,"1,371","1,067","1,04,352","2,34,251","11,713","21,954","1,04,352","2,34,251","44,72,461",,,,,
capital_market,Capital Market,NA,2009-2010,Aug-2009,,364969.0,194427.0,21.0,capital_market_year_summary_table,Aug-09,"1,431",-,"1,288",21,"1,608","1,475","1,94,427","3,64,969","17,379","24,741","1,94,427","3,64,969","49,75,800",,,,,
capital_market,Capital Market,NA,2010-2011,Aug-2010,,311994.0,152467.0,22.0,capital_market_year_summary_table,Aug-10,"1,504",54,"1,408",22,"1,553","1,361","1,52,467","3,11,994","14,182","22,925","1,52,467","3,11,994","63,93,418",,,,,
capital_market,Capital Market,NA,2011-2012,Aug-2011,,235253.0,133110.0,21.0,capital_market_year_summary_table,Aug-11,"1,615",60,"1,523",21,"1,611","1,236","1,33,110","2,35,253","11,203","19,036","1,33,110","2,35,253","59,21,684",,,,,
